id,name,city,credit_limit
1,Uma Brown,London,2000
2,Hank Wilson,Rome,500
3,Victor Carter,Zurich,500
4,Sam Hall,Paris,500
5,Carol Evans,Brussels,10000
6,Tina Smith,Zurich,1000
7,Wendy Baker,Zurich,5000
8,Hank Allen,Athens,2000
9,Zoe Campbell,London,1000
10,Wendy Hall,Budapest,2000
11,Eve Evans,Budapest,500
12,Carol Walker,Madrid,2000
13,Leo Green,Prague,500
14,Xena Allen,Zurich,500
15,Maya Williams,Zurich,2000
16,Uma Green,Lisbon,10000
17,Grace Nelson,Berlin,500
18,Victor Wilson,Warsaw,500
19,Hank Campbell,Madrid,5000
20,Iris Allen,Lisbon,1000
21,Leo Lewis,Vienna,2000
22,Wendy Adams,Berlin,10000
23,Uma Davies,Zurich,1000
24,Frank Allen,Dublin,2000
25,Uma Nelson,Zurich,1000
26,Victor Johnson,Paris,1000
27,Bob Perez,Budapest,5000
28,Iris Williams,Vienna,10000
29,Wendy Johnson,Vienna,5000
30,Maya Baker,Stockholm,1000
31,Iris Taylor,Brussels,10000
32,Rosa Thomas,Athens,5000
33,Sam Walker,Lisbon,1000
34,Eve King,Copenhagen,500
35,Yuki Jones,Madrid,1000
36,Uma Davies,Oslo,10000
37,Carol Walker,Dublin,10000
38,Olivia King,Prague,10000
39,Alice Adams,Madrid,10000
40,Yuki Thomas,Budapest,500
41,Jack Hall,Amsterdam,5000
42,Alice Carter,Prague,10000
43,Yuki Davies,Helsinki,500
44,Uma Roberts,Helsinki,10000
45,Grace Taylor,Lisbon,1000
46,Rosa Mitchell,Helsinki,500
47,Tina Johnson,Copenhagen,500
48,Dave Lewis,Warsaw,1000
49,Bob Wilson,Athens,500
50,Carol Carter,Copenhagen,500
51,Yuki Wright,Rome,1000
52,Victor Young,Zurich,1000
53,Iris King,Riga,5000
54,Grace Wright,Vienna,2000
55,Maya Adams,Lisbon,5000
56,Quinn Allen,Madrid,1000
57,Hank Williams,Budapest,500
58,Sam Wright,Brussels,10000
59,Hank Smith,Berlin,500
60,Hank Williams,Paris,2000
61,Carol King,Brussels,2000
62,Victor Young,Vienna,10000
63,Eve Carter,Athens,10000
64,Paul Wilson,Copenhagen,5000
65,Grace Brown,Madrid,5000
66,Leo Hall,Oslo,5000
67,Xena Jones,Madrid,500
68,Maya Carter,Budapest,500
69,Hank Evans,Vienna,10000
70,Olivia Taylor,Oslo,1000
71,Iris Allen,Brussels,500
72,Olivia Perez,Zurich,500
73,Bob Baker,Zurich,500
74,Carol Mitchell,Brussels,1000
75,Nick Young,Copenhagen,1000
76,Maya Jones,Amsterdam,5000
77,Alice Walker,Prague,5000
78,Jack Hall,Zurich,5000
79,Eve Evans,Warsaw,1000
80,Bob Scott,Zurich,500
81,Xena Johnson,Paris,500
82,Sam Young,Helsinki,10000
83,Frank Jones,Helsinki,500
84,Frank Williams,Riga,500
85,Victor Campbell,Brussels,5000
86,Dave Scott,Brussels,10000
87,Tina Jones,Riga,500
88,Nick Adams,Athens,10000
89,Quinn Johnson,Prague,1000
90,Victor Nelson,Budapest,1000
91,Iris Walker,Rome,2000
92,Olivia Johnson,Berlin,500
93,Olivia Green,Athens,500
94,Carol Wright,Vienna,10000
95,Iris Taylor,Lisbon,500
96,Hank Lewis,Warsaw,1000
97,Olivia Turner,Zurich,2000
98,Tina Perez,Helsinki,500
99,Victor Turner,Zurich,2000
100,Victor Brown,Rome,2000
101,Dave Brown,Zurich,1000
102,Iris Roberts,Riga,1000
103,Wendy Johnson,Vienna,2000
104,Quinn Young,Prague,500
105,Carol Baker,Oslo,2000
106,Bob Smith,Budapest,1000
107,Uma Thomas,Amsterdam,5000
108,Rosa Nelson,Oslo,10000
109,Alice Brown,Berlin,1000
110,Rosa Jones,Lisbon,10000
111,Rosa Taylor,Oslo,1000
112,Bob Roberts,Lisbon,500
113,Leo Evans,Brussels,500
114,Leo Mitchell,Zurich,5000
115,Tina Carter,Rome,1000
116,Frank Perez,Amsterdam,5000
117,Alice Davies,Budapest,5000
118,Zoe Adams,Brussels,2000
119,Frank Perez,Madrid,5000
120,Bob Campbell,Copenhagen,1000
121,Grace Turner,Stockholm,2000
122,Jack Turner,Brussels,1000
123,Alice Adams,Vienna,5000
124,Karen Thomas,Berlin,2000
125,Leo Baker,Helsinki,5000
126,Victor Turner,Zurich,2000
127,Alice Brown,Prague,1000
128,Sam Thomas,Paris,500
129,Tina Hall,Lisbon,2000
130,Nick Green,Helsinki,500
131,Maya Scott,Vienna,2000
132,Bob Nelson,Oslo,500
133,Quinn Perez,Zurich,1000
134,Leo Hall,Berlin,2000
135,Tina Johnson,Madrid,2000
136,Quinn Roberts,Oslo,2000
137,Maya Nelson,Warsaw,10000
138,Eve Evans,Oslo,5000
139,Victor Carter,Amsterdam,10000
140,Sam Roberts,Dublin,10000
141,Alice Roberts,Warsaw,1000
142,Nick Perez,Athens,10000
143,Uma Johnson,Stockholm,5000
144,Olivia Adams,Vienna,10000
145,Paul Perez,Amsterdam,500
146,Jack King,Riga,2000
147,Carol Turner,Brussels,2000
148,Hank Perez,Vienna,1000
149,Alice Jones,Brussels,5000
150,Tina Campbell,Berlin,5000
151,Nick Baker,Athens,1000
152,Wendy Nelson,Dublin,5000
153,Maya Wilson,Rome,500
154,Yuki Campbell,Madrid,5000
155,Hank Davies,Helsinki,5000
156,Bob Wright,Brussels,500
157,Olivia Taylor,Stockholm,10000
158,Rosa Green,Budapest,5000
159,Tina Turner,Helsinki,5000
160,Rosa Allen,Amsterdam,5000
161,Olivia Thomas,Brussels,2000
162,Yuki Mitchell,Helsinki,5000
163,Uma Wilson,Prague,5000
164,Carol Nelson,Warsaw,1000
165,Iris Johnson,Budapest,10000
166,Carol Taylor,Rome,1000
167,Maya Nelson,Rome,1000
168,Carol Hall,Oslo,2000
169,Rosa Allen,Oslo,500
170,Grace Turner,Oslo,5000
171,Yuki Scott,London,10000
172,Maya Young,London,2000
173,Jack Mitchell,Dublin,5000
174,Rosa Carter,Zurich,10000
175,Hank Young,Brussels,2000
176,Nick Young,London,5000
177,Karen Adams,Dublin,1000
178,Olivia Taylor,Riga,10000
179,Alice Walker,Athens,10000
180,Victor Smith,Berlin,5000
181,Eve Campbell,Stockholm,1000
182,Bob Thomas,Dublin,2000
183,Grace Allen,Budapest,2000
184,Yuki Walker,Prague,5000
185,Iris Turner,Berlin,5000
186,Alice Carter,Zurich,500
187,Leo Wilson,Berlin,500
188,Yuki Smith,Brussels,1000
189,Alice Green,Rome,1000
190,Eve Young,Madrid,10000
191,Grace Allen,Prague,2000
192,Frank Green,Riga,500
193,Yuki Turner,Amsterdam,2000
194,Dave Scott,London,2000
195,Sam Adams,Dublin,5000
196,Wendy Evans,Berlin,10000
197,Wendy Turner,Brussels,500
198,Wendy Mitchell,Warsaw,10000
199,Zoe Brown,Athens,500
200,Leo Wright,Oslo,2000
201,Carol King,Budapest,500
202,Nick Turner,Copenhagen,500
203,Nick Lewis,Stockholm,1000
204,Nick Davies,Helsinki,2000
205,Tina Perez,Zurich,5000
206,Olivia Hall,Athens,2000
207,Karen Campbell,Brussels,500
208,Iris Allen,Brussels,5000
209,Sam Green,Dublin,2000
210,Alice Young,Budapest,1000
